,smiles,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,outcome,percent_hybrid
0,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
1,[H]c1c(C([H])([H])[H])noc1N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])[C@]1([H])S[C@@]2(C(=O)C([H])([H])C([H])([H])C2([H])[H])N([H])N1[H],,638.453799002542,941.0243674211762,302.57056841863414,1.4563594902891552,24.0,0.0,3.8359265327453613,"['m0145a', 'm0037a']",[],-26.60224162510592,too moved,46.0
2,,DistanceError 10.43 Å,,,,,,,,[],[],,too distant,
3,,DistanceError 6.02 Å,,,,,,,,[],[],,too distant,
4,,ValueError No idea what this S SP3D2 is,,,,,,,,[],[],,crashed,
5,,DistanceError 14.13 Å,,,,,,,,[],[],,too distant,
6,[H]C1=C(C([H])([H])C([H])([H])C([H])([H])[H])NC(N([H])C(=O)C([H])([H])C([H])([H])[H])=[S@]1[C@]([H])(N([H])N([H])[H])N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],,647.8877033809885,934.9879685599633,287.10026517897484,1.7605362997879705,25.0,0.0,4.98567271232605,"['m0145a', 'm0140a']",[],-25.915508135239538,too moved,48.0
7,,RecursionError maximum recursion depth exceeded,,,,,,,,[],[],,crashed,
8,,DistanceError 9.20 Å,,,,,,,,[],[],,too distant,
9,,DistanceError 11.39 Å,,,,,,,,[],[],,too distant,
10,[H]S[C@]([H])(C([H])=O)C([H])([H])[C@]1(N([H])N([H])[H])OC([H])([H])C([H])([H])C1([H])[H],,-27.745970047553158,157.51717334923157,185.26314339678473,1.0780078245237867,12.0,0.0,0.369429349899292,"['m0145a', 'm0199a']",[],2.31216417062943,equally sized,42.0
11,,DistanceError 26.43 Å,,,,,,,,[],[],,too distant,
12,,DistanceError 26.56 Å,,,,,,,,[],[],,too distant,
13,,DistanceError 24.58 Å,,,,,,,,[],[],,too distant,
14,,FragmensteinError Ideal compound failed. Something is wrong with the SMILES,,,,,,,,[],[],,crashed,
15,,RecursionError maximum recursion depth exceeded,,,,,,,,[],[],,crashed,
16,[H]N(C1=NC(=O)C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])O[C@@]12[H])c1nnc(C([H])(C([H])([H])[H])C([H])([H])[H])s1,,-61.58459048554607,285.0991251043743,346.6837155899204,1.1117079424382414,18.0,1.0,1.4310550689697266,"['m0145a', 'm0238a']",[],3.241294236081372,too moved,17.0
17,,ValueError Bad Conformer Id,,,,,,,,[],[],,crashed,
18,[H]c1c([H])c(C(=O)[C@@]2([H])O[C@@]([H])(C(=O)N([H])c3nnc(C([H])([H])C([H])([H])[H])s3)[C@]([H])(C(=O)N([H])[H])C2([H])[H])c([H])c(C([H])([H])[H])c1[H],,61.30350501212604,409.3248254215231,348.02132040939705,3.0460729837921945,27.0,0.0,5.9721925258636475,"['m0145a', 'm0248a']",[],-2.270500185634298,too moved,45.0
19,,DistanceError 26.29 Å,,,,,,,,[],[],,too distant,
