smiles,hit0,hit1
[H]c1c(C([H])([H])[H])noc1N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])[C@]1([H])S[C@@]2(C(=O)C([H])([H])C([H])([H])C2([H])[H])N([H])N1[H],m0145a,m0037a
[H]C1=C(C([H])([H])C([H])([H])C([H])([H])[H])NC(N([H])C(=O)C([H])([H])C([H])([H])[H])=[S@]1[C@]([H])(N([H])N([H])[H])N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],m0145a,m0140a
[H]S[C@]([H])(C([H])=O)C([H])([H])[C@]1(N([H])N([H])[H])OC([H])([H])C([H])([H])C1([H])[H],m0145a,m0199a
[H]N(C1=NC(=O)C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])O[C@@]12[H])c1nnc(C([H])(C([H])([H])[H])C([H])([H])[H])s1,m0145a,m0238a
[H]c1c([H])c(C(=O)[C@@]2([H])O[C@@]([H])(C(=O)N([H])c3nnc(C([H])([H])C([H])([H])[H])s3)[C@]([H])(C(=O)N([H])[H])C2([H])[H])c([H])c(C([H])([H])[H])c1[H],m0145a,m0248a
[H]c1[nH]c2c(c1[H])C([H])([H])C([H])([H])C([H])([H])[C@](OS(=O)(=O)N([H])[H])([C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])N([H])[C@@]([H])(N([H])[H])S2,m0145a,m0269a
[H]C1C([H])C(N([H])C([H])([H])C([H])([H])[H])[C@H]2C([H])S[C@H](N([H])N([H])[H])N[C@H]3[C@H]([C@H](O)C1C2[H])C1(OC3([H])[H])C([H])([H])C1([H])[H],m0145a,m0306a
[H]N([H])C(=S)N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])[C@@]1([H])OC(F)(F)N(C(=O)[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(N([H])N([H])[H])SC1([H])[H],m0145a,m0310a
[H]O[C@]12C([H])([H])N([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@]([H])(N([H])[H])N([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])C2([H])[H],m0145a,m0322a
[H]N([H])N([H])[C@H]1S[C@H]([H])C([C@]([H])(N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])O[C@H]([H])[C@H]1C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H],m0145a,m0332a
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])[C@@]1([H])N([H])N([H])[C@@]2(C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C#N)C2([H])[H])[S@OH3]12C([H])([H])C([H])([H])N([H])[C@]2([H])C([H])([H])[H],m0145a,m0354a
[H]N1N([H])[C@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])S[C@]12C([H])([H])C([H])([H])N([H])[C@@]([H])([C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C2([H])[H],m0145a,m0401a
